# MPPT Simulator - 模擬結果匯出
# 日照強度(W/m2),1000
# 溫度(degC),25
# Vmpp(V),0.452763,Impp(A),1.48615,Pmpp(W),0.672873,FF,0.250455,eta(%),6.72873
#
Voltage(V),Current(A),Power(W)
0.814973,0.297566,0.242508
0.817991,0.287650,0.235295
0.821010,0.277733,0.228022
0.824028,0.267816,0.220688
0.827047,0.257899,0.213295
0.830065,0.247982,0.205841
0.833083,0.238065,0.198328
0.836102,0.228148,0.190755
0.839120,0.218230,0.183121
0.842139,0.208312,0.175428
0.845157,0.198394,0.167674
0.848175,0.188476,0.159861
0.851194,0.178558,0.151987
0.854212,0.168639,0.144054
0.857231,0.158721,0.136060
0.860249,0.148802,0.128007
0.863268,0.138883,0.119893
0.866286,0.128964,0.111719
0.869304,0.119044,0.103486
0.872323,0.109125,0.095192
0.875341,0.099205,0.086839
0.878360,0.089286,0.078425
0.881378,0.079366,0.069951
0.884396,0.069445,0.061417
0.887415,0.059525,0.052824
0.890433,0.049605,0.044170
0.893452,0.039684,0.035456
0.896470,0.029763,0.026682
0.899489,0.019842,0.017848
0.902507,0.009921,0.008954
0.905525,0.000000,0.000000
